seed,champion,difference_vs_response,ci_lower,ci_upper,champion_incremental_outcome,response_incremental_outcome,champion_auuc,response_auuc,fit_seconds
42,s_learner,47.88959139711902,-112.32149644162831,208.10067923586638,415.81738630120157,367.9277949040825,0.008061586749472188,0.008923695217969794,72.53812730000004
123,s_learner,46.541663250930064,-118.32792845464344,211.4112549565036,438.65580379096934,392.11414054003933,0.008602112555583113,0.00876505866356474,69.99905799999999
2026,s_learner,-37.69617842878706,-218.70337287111536,143.31101601354123,458.8554303621158,496.5516087909027,0.00815323347416889,0.00914142846060338,71.88079659999994
730,s_learner,93.34804875563027,-57.83495134052326,244.53104885178382,377.59406525422884,284.2460164985986,0.008079582788954797,0.008879393765699314,72.91391539999995
991,s_learner,183.10256314616697,27.936737185073248,338.2683891072607,324.7673110933573,141.66474794719034,0.008237846735320933,0.00844310392505999,70.70932410000023
1201,s_learner,148.7225649626567,-12.678366526951796,310.1234964522652,407.71096105034445,258.98839608768776,0.008890275028493261,0.008492264827524824,72.6791245999998
1601,s_learner,120.23667390338902,-47.828953449930765,288.3023012567088,438.0343723481465,317.79769844475754,0.008289887482264127,0.008483463150213161,70.63188920000016
2401,s_learner,85.05656190277094,-83.1169625721274,253.2300863776693,478.96500096884347,393.9084390660725,0.00863774772542798,0.00852764620602475,72.10996370000021
3301,s_learner,115.31222702639185,-38.80576157350992,269.43021562629366,376.6088127511741,261.29658572478223,0.008681344251570404,0.008661638432639524,72.03566629999978
4401,s_learner,133.0115763084844,-37.04743022936274,303.0705828463315,517.7545664369121,384.74299012842766,0.008643255270537725,0.008829880671413754,65.09900349999975
